,wind speed,windspeed,maximum wind,precipitation,EOF,south america,southamerica,KDE,PDF,PCA,cyclone
simmonds2000mean.md,0,0,0,1,20,0,0,0,0,0,113
Laureanti2024relation.md,0,7,0,107,100,9,26,0,0,0,0
hart2003cyclone.md,0,0,0,1,58,0,1,0,0,0,637
blanchard2021warm.md,12,11,0,1,43,0,0,0,0,0,29
gozzo2013air.md,0,0,0,13,7,1,0,0,0,0,137
clark2005sting.md,11,10,1,3,48,0,0,1,0,0,30
oertel2021warm.md,2,5,0,32,33,0,0,1,0,0,115
simmonds1999southern.md,0,0,0,1,10,0,0,0,0,0,76
padilhareinke2024objective.md,0,0,0,2,52,1,3,0,0,0,175
inatsu2004zonal.md,0,0,0,0,7,1,2,0,0,0,21
gentile2025response.md,20,0,0,40,0,0,0,0,0,0,122
sinclair1997objective.md,0,1,0,2,17,2,3,3,0,0,198
liang2018multivariate.md,0,0,0,0,86,0,0,0,0,0,0
reboita2022from.md,4,0,0,10,26,2,5,0,2,0,230
eisenstein2023identification.md,6,11,0,5,43,0,0,4,0,1,136
hesterberg2015bootstrap.md,0,0,0,0,31,0,0,0,2,2,0
catto2015front.md,0,0,0,95,48,0,3,0,0,0,49
reboita2026meteorology.md,1,0,2,169,1,156,0,0,1,0,61
evans2012climatology.md,0,1,0,1,16,4,5,0,0,0,27
coutodesouza2024thesis.md,5,0,0,10,132,37,5,8,23,0,863
catto2016extratropical.md,2,0,1,70,0,1,0,0,2,0,521
gramcianinov2024early.md,2,0,0,9,1,12,0,0,1,0,163
han2025system.md,3,12,0,27,76,0,2,10,0,0,90
weglarczyk2018kernel.md,0,0,0,3,0,0,0,0,16,0,0
reboita2010south.md,0,0,0,6,10,9,8,0,0,0,88
schemm2014ccb.md,1,4,0,4,58,0,0,1,0,0,56
priestley2022improved.md,21,0,2,7,0,0,0,3,0,0,141
bitencourt2010relating.md,5,1,1,0,3,7,5,0,0,0,121
marrafon2022classificacao.md,0,0,0,0,0,4,0,0,0,0,39
bartolomei2024extremos.md,0,0,0,3,2,7,0,0,1,0,20
dejesus2021multimodel.md,20,0,1,12,2,26,0,0,0,0,185
sinclair2023relationship.md,2,5,0,233,62,0,0,0,0,0,123
schultz2021antecedents.md,1,0,0,1,9,0,0,0,0,0,152
IPCC2021_WG1_Chapter11_Extremes.md,59,1,5,1363,6,113,0,0,3,1,253
masson2022tendencias.md,0,0,0,0,0,0,0,0,0,0,0
machado2020influence.md,0,0,0,4,18,8,3,0,0,0,40
shapiro1999bridge.md,11,0,1,9,3,0,0,0,0,0,438
russo2025impacts.md,7,0,1,10,1,6,0,0,0,0,262
gramcianinov2020analysis.md,11,0,2,1,2,12,0,0,0,0,139
rieger2024xeofs.md,0,0,0,0,32,0,0,1,0,19,0
clark2018sting.md,13,11,0,9,127,0,0,0,1,0,190
hannachi2007empirical.md,0,0,0,2,505,0,0,0,0,12,1
stankovic2025surface.md,1,50,0,0,28,0,0,0,4,1,105
rocha2016estudo.md,0,0,0,0,5,0,0,0,0,0,12
gozzo2014subtropical.md,3,6,0,8,30,2,8,0,2,0,154
hannachi2023eof.md,0,0,0,0,129,0,0,0,2,0,0
cardoso2022synoptic.md,42,0,5,35,1,1,0,0,0,0,81
gan1991surface.md,0,0,0,0,0,0,0,0,0,0,0
reboita2018extratropical.md,2,1,0,42,7,3,2,0,0,0,184
browning1986conceptual_rev.md,0,0,0,0,1,0,0,0,0,0,0
crespo2020potential.md,5,1,0,1,10,3,8,0,0,0,53
gan1994influence.md,0,0,0,0,0,0,0,0,0,0,0
wilks2019statistical_ch13.md,0,0,0,26,166,0,0,0,0,142,2
naud2020evaluation.md,0,1,0,216,24,0,0,0,1,0,203
sasaki2021intraseasonal.md,0,2,0,7,153,6,5,8,0,0,68
gramcianinov2023impact.md,8,0,0,0,1,7,0,0,0,0,260
miranda2026patterns.md,0,0,0,3,50,9,0,0,0,0,43
hodges2011comparison.md,0,1,0,0,23,1,0,7,1,0,87
